No;date;season;PM_Taiyuanjie;PM_US Post;PM_Xiaoheyan;DEWP;HUMI;PRES;TEMP;cbwd;Iws;precipitation;Iprec
1;1/1/2013 0:00;4;145;0;148;-17;66.23;1016;-12;SE;24;0;0
2;1/1/2013 1:00;4;150;0;133;-16;72.02;1016;-12;SE;26;0;0
3;1/1/2013 2:00;4;0;0;0;-15;72.23;1016;-11;SE;29;0;0
4;1/1/2013 3:00;4;142;0;121;-14;78.44;1016;-11;cv;1;0.1;0.1
5;1/1/2013 4:00;4;105;0;110;-16;78.1;1016;-13;NW;2;0;0
6;1/1/2013 5:00;4;154;0;107;-16;84.74;1016;-14;NE;1;0;0
7;1/1/2013 6:00;4;176;0;123;-16;84.74;1016;-14;SW;3;0;0
8;1/1/2013 7:00;4;140;0;111;-18;71.6;1018;-14;NW;5;0;0
9;1/1/2013 8:00;4;93;0;76;-18;71.6;1019;-14;NW;9;0;0
10;1/1/2013 9:00;4;53;0;56;-18;71.6;1020;-14;NW;12;0;0
11;1/1/2013 10:00;4;23;0;29;-22;54.98;1021;-15;NW;19;0;0
12;1/1/2013 11:00;4;29;0;20;-24;46.01;1021;-15;NW;24;0;0
13;1/1/2013 12:00;4;0;0;0;-24;46.01;1021;-15;NW;28;0;0
14;1/1/2013 13:00;4;13;0;7;-24;46.01;1022;-15;NW;33;0;0
15;1/1/2013 14:00;4;8;0;6;-25;42.03;1022;-15;NW;37;0;0
16;1/1/2013 15:00;4;9;0;8;-26;38.37;1023;-15;NW;41;0;0
17;1/1/2013 16:00;4;14;0;9;-27;38.03;1024;-16;NW;44;0;0
18;1/1/2013 17:00;4;24;0;14;-27;41.36;1024;-17;NW;47;0;0
19;1/1/2013 18:00;4;34;0;24;-27;45.02;1025;-18;NW;49;0;0
20;1/1/2013 19:00;4;37;0;20;-27;45.02;1026;-18;NW;52;0;0
21;1/1/2013 20:00;4;25;0;17;-28;44.68;1026;-19;NW;53;0;0
22;1/1/2013 21:00;4;18;0;25;-28;53.13;1026;-21;SE;2;0;0
23;1/1/2013 22:00;4;21;0;77;-29;57.71;1026;-23;SE;4;0;0
24;1/1/2013 23:00;4;30;0;59;-30;62.84;1027;-25;cv;1;0;0
25;2/1/2013 0:00;4;43;0;26;-30;62.84;1027;-25;SW;2;0;0
26;2/1/2013 1:00;4;0;0;0;-30;62.84;1027;-25;SW;4;0;0
27;2/1/2013 2:00;4;25;0;23;-30;62.84;1028;-25;SW;5;0;0
28;2/1/2013 3:00;4;19;0;13;-31;68.59;1028;-27;SW;7;0;0
29;2/1/2013 4:00;4;36;0;12;-31;62.56;1029;-26;SW;8;0;0
30;2/1/2013 5:00;4;22;0;9;-31;68.59;1029;-27;SW;10;0;0
31;2/1/2013 6:00;4;16;0;8;-31;68.59;1030;-27;SW;12;0;0
